;;;;;;;;;;
NO;F˜ž/FATURA ADI;TAR˜H;TUTAR;KDV;GEN.TOP.;HARCAMA;HARCAMA C˜NS˜;A€IKLAMA;D™NEM;D™KšLEN BETON
131;METALO-G LTD;22.04.2019;331,95   ;59,75   ;391,70   ;MALZEME;HIRDAVAT;FLANžLAR, CONTA, KL˜NGR˜K CONTA, N˜PEL, MANOMETRE;Nis.19;
132;LEVAN SAMKHARAUL˜ B˜L˜RK˜ž˜ BšROSU;22.04.2019;272,19   ;48,81   ;321,00   ;VERG˜/HAR€;HAR€;HI UP EXPER šCRET˜ VE EFT KOM˜SYONU;Nis.19;
133;KARABAK LOKANTA;23.04.2019;17,80   ;3,20   ;21,00   ;D˜¦ER G˜DERLER;YEMEK;TAHS˜N BEY, H. D™LEK AKžAM YEME¦˜;Nis.19;
134;BS METAL GRUP;24.04.2019;28,26   ;5,09   ;33,35   ;MALZEME;HIRDAVAT;20'L˜K H˜LT˜ UCU, M14 C˜VATA+SOMUN;Nis.19;
135;BS METAL GRUP;25.04.2019;108,81   ;19,59   ;128,40   ;NAKL˜YE;NAKL˜YE;48'L˜K BORU 18 MT VE NAKL˜YE šCRET˜;Nis.19;
136;NOVA LTD;25.04.2019;3,73   ;0,67   ;4,40   ;MALZEME;HIRDAVAT;MATKAP UCU V˜DALAMA APARATI;Nis.19;
137;BS METAL GRUP;25.04.2019;1,66   ;0,30   ;1,96   ;MALZEME;HIRDAVAT;YILDIZ ANAHTAR-MATKAP UCU;Nis.19;
138;BS METAL GRUP;25.04.2019;156,14   ;28,11   ;184,25   ;MALZEME;HIRDAVAT;CAM YšNš,PAN€ TK, 3 VE 6 LI PR˜Z;Nis.19;
139;METALO-G LTD;25.04.2019;21,19   ;3,81   ;25,00   ;MALZEME;HIRDAVAT;TEFLON BANT, N˜PEL;Nis.19;
140;BATUM TRAF˜K MšD.;25.04.2019;62,00   ;0,00   ;62,00   ;VERG˜/HAR€;HAR€;HI UP TESC˜L ˜€˜N ˜NCELEME šCRET˜;Nis.19;
141;˜MO MOTORS LTD;26.04.2019;106,78   ;19,22   ;126,00   ;MALZEME;HIRDAVAT;46 NO H˜DROL˜K YA¦;Nis.19;
142;˜NOKS LTD.;26.04.2019;11,02   ;1,98   ;13,00   ;MALZEME;HIRDAVAT;C˜VATA;Nis.19;
143;BS METAL GRUP;26.04.2019;1,23   ;0,22   ;1,45   ;KIRTAS˜YE;KIRTAS˜YE;MARK™R KALEM;Nis.19;
144;STEEL KABLO LTD;26.04.2019;84,75   ;15,25   ;100,00   ;MALZEME;HIRDAVAT;€EL˜K HALAT, GERD˜RME;Nis.19;
145;BS METAL GRUP;26.04.2019;21,43   ;3,86   ;25,29   ;MALZEME;HIRDAVAT;ALYAN TK, 12 mm MATKAP UCU;Nis.19;
146;M˜N˜A LTD;26.04.2019;16,10   ;2,90   ;19,00   ;MALZEME;ELEKTR˜K MALZEME;BUAT, KLEMENS;Nis.19;
147;SUAT USTA;27.04.2019;81,36   ;14,64   ;96,00   ;D˜¦ER G˜DERLER;YEMEK;TAHS˜N BEY, BAHATT˜N, YAHYA, OSMAN YEMEK BED;Nis.19;
148;KARABAK LOKANTA;28.04.2019;31,74   ;5,71   ;37,45   ;D˜¦ER G˜DERLER;YEMEK;TAHS˜N BEY, BAHATT˜N, YAHYA, YEMEK BED.;Nis.19;
149;BS METAL GRUP;30.04.2019;31,74   ;5,71   ;37,45   ;MALZEME;HIRDAVAT;C˜VATA VE SOMUN;Nis.19;
150;˜NOKS LTD;30.04.2019;17,00   ;0,00   ;17,00   ;MALZEME;HIRDAVAT;NAYLON, MATKAP UCU, KELEP€E;Nis.19;
151;RELE LTD;30.04.2019;16,95   ;3,05   ;20,00   ;MALZEME;ELEKTR˜K MALZEME;ELK MALZ (PABU€ );Nis.19;
152;˜ž TAK˜P MASRAFLARI;30.04.2019;233,80   ;0,00   ;233,80   ;D˜¦ER G˜DERLER;D˜¦ER;DUSTER YIKAMA+PERSONEL SU+OTOPARK+KAHVALTI+TERCšMAN €EV˜R˜+HURDACIDA METAL;Nis.19;
153;BS METAL GRUP;1.05.2019;100,56   ;18,10   ;118,66   ;MALZEME;HIRDAVAT;YEMEKHANE KURULUM ALINAN MALZEME;Nis.19;
154;H˜DRO GRUP LTD;1.05.2019;144,07   ;25,93   ;170,00   ;TAM˜R/BAKIM;ELEPHANT;REKORLU HORTUM 2 AD - ELEFANT ˜€˜N;Nis.19;
155;BS METAL GRUP;1.05.2019;10,08   ;1,82   ;11,90   ;MALZEME;HIRDAVAT;48 L˜K D˜RSEK 7 AD - BUHAR KAZANI;Nis.19;
156;BS METAL GRUP;2.05.2019;71,69   ;12,91   ;84,60   ;MALZEME;HIRDAVAT;ELEKTROT 3,20 4 PAKET, €ATI V˜DASI 2 KUTU;Nis.19;
157;BS METAL GRUP;3.05.2019;17,72   ;3,19   ;20,91   ;MALZEME;HIRDAVAT;3 AD S˜L˜KON;Nis.19;
158;SOCAR PETROL;4.05.2019;50,00   ;0,00   ;50,00   ;AKARYAKIT;06 AER 902;DUSTER MAZOT;Nis.19;
159;BS METAL GRUP;4.05.2019;89,83   ;16,17   ;106,00   ;MALZEME;ELEKTR˜K MALZEME;DUY-AMPUL-PR˜Z 4 AD, KABLO KANALI (YEMEKHANE);Nis.19;
160;BS METAL GRUP;4.05.2019;32,36   ;5,82   ;38,18   ;MALZEME;ELEKTR˜K MALZEME;30x40 ELK PANOSU 1 AD, 20 AD. C˜VATA;Nis.19;
161;BS METAL GRUP;5.05.2019;79,59   ;14,33   ;93,92   ;MALZEME;HIRDAVAT;ELEKTROT 4 PKT, €˜MENTO 2 TRB, SAPLI FIR€A, WABO ;Nis.19;
162;META LTD.;6.05.2019;135,59   ;24,41   ;160,00   ;MALZEME;HIRDAVAT;KAPL˜N 2 AD- HI UP HORTUMLARA;Nis.19;
163;G˜ORG˜ NOLSK˜;6.05.2019;15,00   ;0,00   ;15,00   ;MALZEME;HIRDAVAT;MANDREN (MATKAP BAžLI¦I 1 AD;Nis.19;
164;GUNA LTD;6.05.2019;25,42   ;4,58   ;30,00   ;MALZEME;HIRDAVAT;KAYNAK MAK. JAK TK. 2 AD;May.19;
165;TSULU LTD;6.05.2019;3,10   ;0,00   ;3,10   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;PERSONELE SU;Nis.19;
166;HšSEY˜N-K˜RALIK EV;3.05.2019;675,00   ;0,00   ;675,00   ;LOJMAN;K˜RA BEDEL˜;K˜RALIK EV-AYLIK 250 $-EREN CAN ž˜MžEK;Nis.19;
167;TEMUR ZO˜DZE;7.05.2019;35,00   ;0,00   ;35,00   ;MALZEME;HIRDAVAT;PENCERE KOLU 8 AD VE C˜VATA (YEMEKHANE);Nis.19;
168;BS METAL GRUP;7.05.2019;39,41   ;7,09   ;46,50   ;MALZEME;HIRDAVAT;€ADIR 5x6  1 AD;Nis.19;
169;YAL€IN MARKET;7.05.2019;44,80   ;0,00   ;44,80   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;LOJMAN TEM˜ZL˜K MALZEMES˜;Nis.19;
170;SOCAR PETROL;8.05.2019;50,00   ;0,00   ;50,00   ;AKARYAKIT;AKARYAKIT;K˜RALIK M˜N˜BšS MAZOT;Nis.19;
171;S˜NATLE LTD;8.05.2019;5,00   ;0,00   ;5,00   ;MALZEME;ELEKTR˜K MALZEME;YAZICI KABLOSU;Nis.19;
172;SOCAR PETROL;18.03.2019;249,90   ;0,00   ;249,90   ;AKARYAKIT;AKARYAKIT;AKARYAKIT 105 LT;Mar.19;
173;SOCAR PETROL;4.04.2019;211,78   ;38,12   ;249,90   ;AKARYAKIT;AKARYAKIT;AKARYAKIT 105 LT;Nis.19;
174;SOCAR PETROL;16.04.2019;423,05   ;76,15   ;499,20   ;AKARYAKIT;AKARYAKIT;AKARYAKIT 208 LT;Nis.19;
175;TERCUMAN TEMUR UST˜ADZE;14.03.2019;40,00   ;0,00   ;40,00   ;VERG˜/HAR€;HAR€;TERCšME šCRET˜ ( TSE BELGES˜ ˜€˜N );Mar.19;
176;MAGT˜ GSM;25.03.2019;73,14   ;13,16   ;86,30   ;˜LET˜ž˜M;TELEFON/˜NTERNET;TAHS˜N ™ZMEN-EREN CAN ž˜MžEK - HAL˜M D™LEK--MART FATURASI.FATURA TAR˜H˜ 11.04.2019-D™NEM MART OLDU¦U ˜€˜N MART TAR˜H ATILDI;Nis.19;
177;UNISON INSURANCE COMPANY S˜GORTA;25.03.2019;144,00   ;0,00   ;144,00   ;VERG˜/HAR€;S˜GORTA;KAZA VE AFETLER S˜GORTASI 6 PERSONEL ˜€˜N 1 YILLIK.TAHS˜N ™ZMEN-MEHMET €AM-AL˜ ˜HSAN ELMAS-SELAHATT˜N KARHAN-YUSUF B˜N˜C˜-SšLEYMAN CAYMAZ-HAL˜M D™LEK-AL˜ ELMAS-YAVUZ SEL˜M SALUR-YILDIRAY žENSOY-ERHAN SALUR;Nis.19;
178;BANK OF GEORGIA;20.03.2019;2,00   ;0,00   ;2,00   ;BANKA MASRAF;D˜¦ER;BANKA MASRAF-SMS B˜LD˜R˜M KOM˜SYONU;Mar.19;
179;BANK OF GEORGIA;29.03.2019;1,00   ;0,00   ;1,00   ;BANKA MASRAF;EFT MASRAF;EFT MASRAF.TERCUMAN TEMUR UST˜ADZE;Mar.19;
180;BANK OF GEORGIA;29.03.2019;1,00   ;0,00   ;1,00   ;BANKA MASRAF;EFT MASRAF;EFT MASRAF.UNISON S˜GORTA;Mar.19;
181;BANK OF GEORGIA;16.04.2019;1,93   ;0,00   ;1,93   ;BANKA MASRAF;EFT MASRAF;BANKA MASRAF.VERG˜ DA˜RES˜ EFT šCRET˜;Nis.19;
182;BANK OF GEORGIA;16.04.2019;17,98   ;0,00   ;17,98   ;BANKA MASRAF;D˜¦ER;BANKA MASRAF.NAK˜T €EK˜M KOM˜SYONU;Nis.19;
183;BANK OF GEORGIA;19.04.2019;2,00   ;0,00   ;2,00   ;BANKA MASRAF;D˜¦ER;BANKA MASRAF-SMS B˜LD˜R˜M KOM˜SYONU;Nis.19;
184;BANK OF GEORGIA;22.04.2019;4,00   ;0,00   ;4,00   ;BANKA MASRAF;D˜¦ER;BANKA MASRAF.NAK˜T €EK˜M KOM˜SYONU;Nis.19;
185;BANK OF GEORGIA;24.04.2019;2,40   ;0,00   ;2,40   ;BANKA MASRAF;D˜¦ER;BANKA MASRAF.NAK˜T €EK˜M KOM˜SYONU;Nis.19;
186;˜ž€˜L˜KLER;30.04.2019;31.813,75   ;0,00   ;31.813,75   ;˜ž€˜L˜K;MAAž;N˜SAN 2019 MAAžLAR ;Nis.19;
187;CSM LOJ˜ST˜K ˜TH.˜HR.T˜C.A.ž.;8.04.2019;32.283,60   ;0,00   ;32.283,60   ;NAKL˜YE;NAKL˜YE;GEBZE-BATUM-YšKSAN PORTAL V˜N€LER= 12.000 $ * 2,6903;Nis.19;
188;TRABZON METRO TUR˜ZM T˜CARET SEYAHAT LTD.žT˜.;9.04.2019;4.851,54   ;0,00   ;4.851,54   ;NAKL˜YE;NAKL˜YE;GEBZE-BATUM-SEK˜ZL˜ V˜N€ PORTAL V˜N€ = 1.800$ * 2,6953 = 4851,54;Nis.19;
189;CSM LOJ˜ST˜K ˜TH.˜HR.T˜C.A.ž.;16.04.2019;31.626,30   ;0,00   ;31.626,30   ;NAKL˜YE;NAKL˜YE;S˜VAS-BATUM-06 AGR 36 V˜N€ + ELEPHANTLAR = 11.750 $ * 2,6916;Nis.19;
190;TRABZON METRO TUR˜ZM T˜CARET SEYAHAT LTD.žT˜.;18.04.2019;8.887,23   ;0,00   ;8.887,23   ;NAKL˜YE;NAKL˜YE;S˜VAS-BATUM-YEMEKHANE NAKL˜YES˜ 3.330$*2,6931 = 8887,23;Nis.19;
191;™NCš POL˜S ;19.03.2019;169,49   ;30,51   ;200,00   ;VERG˜/HAR€;HAR€;˜LK GELEN MALZEME POL˜S ™NCšLšK BEDEL˜;Mar.19;
192;™NCš POL˜S ;19.03.2019;-200,00   ;0,00   ;-200,00   ;VERG˜/HAR€;HAR€;POLATYOL ™DED˜.˜LK GELEN MALZEME POL˜S ™NCšLšK BEDEL˜;Mar.19;
193;MAGT˜ GSM;30.03.2019;1,70   ;0,30   ;2,00   ;VERG˜/HAR€;HAR€;SMS ˜LE B˜LD˜R˜M šCRET˜;Mar.19;
194;VERG˜ DA˜RES˜ ;31.03.2019;8.194,76   ;0,00   ;8.194,76   ;VERG˜/HAR€;˜ž€˜ VERG˜S˜-MUHTASAR;MART 2019 MAAžLAR VERG˜S˜.HAM VERG˜.MART  ˜ž€˜L˜KLER  33.029,04 -250 lari avukat maaŸ vergiye alnmamŸ. 32.779,04 *0,25 =8.194,76;Mar.19;
195;VERG˜ DA˜RES˜ ;31.03.2019;0,00   ;-5.479,25   ;-5.479,25   ;VERG˜/HAR€;KDV-1;AY ˜€˜NDE ™DENEN KDV DšžšLDš.˜SKONTO YAPILDI.CAR˜ ™DENEN FATURALAR VERG˜ DA˜RES˜ ˜€˜NDE L˜STES˜ MEVCUT;Mar.19;
196;AHMET AKSU PREFABR˜K;3.05.2019;450,00   ;0,00   ;450,00   ;D˜¦ER G˜DERLER;D˜¦ER;PREFABR˜K YEMEKHANE KURULUM šCRET˜ 3000 TL OLARAK ANLAžILMIž OLUNUP, 1000 TL-YE DENK GELEN 450 LAR˜ GšRC˜STAN-DAN + 2000 TL TšRK˜YE-DEN ™DENECEKT˜R;Mar.19;
197;ž˜M-AL ˜NžAAT EML.TAAH.DEK.PROJ.TUR.˜H.˜T.T˜C.VE SAN.LTD.žT˜.;16.05.2019;3.291,00   ;0,00   ;3.291,00   ;K˜RA BEDEL˜;ENJEKS˜YON POMPASI;1.200$ = TEKK™K ART HAR€ ENJEKS˜YON MAK˜NES˜ + TEKK™K GP-55 HAR€ ENJEKS˜YON MAK˜NES˜ 12 AYLIK K˜RA BEDEL˜;May.19;
198;ž˜M-AL ˜NžAAT EML.TAAH.DEK.PROJ.TUR.˜H.˜T.T˜C.VE SAN.LTD.žT˜.;16.05.2019;9.051,46   ;0,00   ;9.051,46   ;MALZEME;HIRDAVAT;3.300,44 $= 36 MM 2 METRE €EL˜K HALAT+36 MM 4 METRE €EL˜K HALAT+12 MM €EL˜K HALAT+20 MM €EL˜K HALAT+BUHAR KšR €ADIRI;May.19;
199;TRABZON METRO TUR˜ZM T˜CARET SEYAHAT LTD.žT˜.;16.05.2019;548,50   ;0,00   ;548,50   ;NAKL˜YE;NAKL˜YE;200$ = ANKARA-BATUM NAKL˜YE---ENJEKS˜YON MAK˜NALARI  - €EL˜K HALAT - KABLO-AYAKKABI;May.19;
200;BANK OF GEORGIA;15.05.2019;3,00   ;0,00   ;3,00   ;BANKA MASRAF;EFT MASRAF;BANKA MASRAF.NAK˜T €EK˜M KOM˜SYONU;May.19;
201;BANK OF GEORGIA;16.05.2019;9,83   ;0,00   ;9,83   ;BANKA MASRAF;EFT MASRAF;BANKA MASRAF.EFT šCRET˜.VERG˜ DA˜RES˜;May.19;
202;BANK OF GEORGIA;16.05.2019;1,00   ;0,00   ;1,00   ;BANKA MASRAF;EFT MASRAF;BANKA MASRAF.EFT šCRET˜.VERG˜ DA˜RES˜;May.19;
203;BANK OF GEORGIA;28.05.2019;40,00   ;0,00   ;40,00   ;BANKA MASRAF;EFT MASRAF;BANKA MASRAF.NAK˜T €EK˜M KOM˜SYONU;May.19;
204;BANK OF GEORGIA;31.05.2019;3,39   ;0,00   ;3,39   ;BANKA MASRAF;EFT MASRAF;BANKA MASRAF.EFT šCRET˜.EFE TIR NAKL˜YE;May.19;
205;BANK OF GEORGIA;12.06.2019;1,00   ;0,00   ;1,00   ;BANKA MASRAF;EFT MASRAF;BANKA MASRAF.EFT šCRET˜.EFE TIR NAKL˜YE;May.19;
206;BANK OF GEORGIA;12.06.2019;5,00   ;0,00   ;5,00   ;BANKA MASRAF;EFT MASRAF;BANKA MASRAF.NAK˜T €EK˜M KOM˜SYONU;May.19;
207;KARABAK LOKANTA;8.05.2019;19,00   ;0,00   ;19,00   ;D˜¦ER G˜DERLER;YEMEK;YEMEK.TAHS˜N ™ZMEN;May.19;
208;BS METAL GRUP;9.05.2019;0,75   ;0,13   ;0,88   ;MALZEME;HIRDAVAT;C˜VATA -SOMUN 3 AD;May.19;
209;KARTUL˜KSEL˜ LTD;9.05.2019;0,60   ;0,00   ;0,60   ;KIRTAS˜YE;KIRTAS˜YE;PR˜T YAPIžTIRICI 1 AD;May.19;
210;SOCAR PETROL;13.05.2019;50,00   ;0,00   ;50,00   ;AKARYAKIT;06 AER 902;DUSTER MAZOT;May.19;
211;SUAT USTA;15.05.2019;59,00   ;0,00   ;59,00   ;D˜¦ER G˜DERLER;YEMEK;TAHS˜N BEY, H. D™LEK YEMEK;May.19;
212;SOCAR PETROL;15.05.2019;50,00   ;0,00   ;50,00   ;AKARYAKIT;M˜N˜BšS;K˜RALIK M˜N˜BšS MAZOT;May.19;
213;YAL€IN MARKET;16.05.2019;3,45   ;0,00   ;3,45   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;OF˜SE €AY;May.19;
214;MAGT˜ GSM;15.05.2019;10,00   ;0,00   ;10,00   ;˜LET˜ž˜M;˜NTERNET;TAHS˜N BEY HATTINA 3 GB ˜NTERNET;May.19;
215;YAL€IN MARKET;17.05.2019;3,20   ;0,00   ;3,20   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;POR€™Z-AS˜T (€EKVALF TEM˜ZL˜¦˜);May.19;
216;TEONA G˜ORGADZE-RAL˜NA LTD;18.05.2019;508,47   ;91,53   ;600,00   ;TAM˜R/BAKIM;ELEPHANT;ELEFANTA 180 Ah AKš 2 AD;May.19;
217;SUAT USTA;15.05.2019;56,00   ;0,00   ;56,00   ;D˜¦ER G˜DERLER;YEMEK;TAHS˜N BEY, H. D™LEK YEMEK;May.19;
218;H˜DROSCAN LTD;22.05.2019;21,44   ;3,86   ;25,30   ;MALZEME;HIRDAVAT;KAPL˜N C˜VATASI 2 ad ;May.19;
219;DAV˜D KATENADZE;22.05.2019;7,00   ;0,00   ;7,00   ;MALZEME;HIRDAVAT;LEH˜M TEL˜ VE PASTA;May.19;
220;YAL€IN MARKET;22.05.2019;3,45   ;0,00   ;3,45   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;OF˜SE €AY;May.19;
221;KHEV˜ LTD;22.05.2019;42,37   ;7,63   ;50,00   ;D˜¦ER G˜DERLER;D˜¦ER;OKS˜JEN GAZI 2 AD;May.19;
222;HšSEY˜N (LOJMAN SAH˜B˜);17.05.2019;-215,00   ;0,00   ;-215,00   ;LOJMAN;K˜RA BEDEL˜;ANLAžMAZLIK NEDEN˜ ˜LE DA˜RE ˜ADE ED˜LM˜ž.215 LAR˜ ˜ADE BEDEL˜ TAHS˜L ED˜LECEK.3.HAL˜M D™LEK KASA;May.19;
223;MAGT˜ GSM;20.05.2019;10,00   ;0,00   ;10,00   ;˜LET˜ž˜M;TELEFON/˜NTERNET;TAHS˜N BEY HATTINA 3 GB ˜NTERNET YšKLEME;May.19;
224;MAGT˜ GSM;27.05.2019;10,00   ;0,00   ;10,00   ;˜LET˜ž˜M;TELEFON/˜NTERNET;TAHS˜N BEY HATTINA 3 GB ˜NTERNET YšKLEME;May.19;
225;DEN˜Z 99 LTD (LOKANTA);27.05.2019;17,00   ;0,00   ;17,00   ;D˜¦ER G˜DERLER;YEMEK;TAHS˜N BEY YEMEK;May.19;
226;N˜N˜MA LTD;28.05.2019;2,00   ;0,00   ;2,00   ;D˜¦ER G˜DERLER;ZšCACC˜YE;KONTROL MšH BARDAK;May.19;
227;BADR˜ BER˜ZE ;28.05.2019;7,00   ;0,00   ;7,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;KONTROL MšH. KAHVE + €AY;May.19;
228;LUKA 2018 LTD;29.05.2019;29,66   ;5,34   ;35,00   ;MALZEME;HIRDAVAT;SAC V˜DASI 500 AD (KAZAN DA˜RE šSTš);May.19;
229;˜ž TAK˜P MASRAFLARI;31.05.2019;110,29   ;0,00   ;110,29   ;D˜¦ER G˜DERLER;D˜¦ER;€Ež˜TL˜ HARCAMALAR ( GšMRšK EFT + PERSONELE SU+ LOJMAN TEM˜ZL˜K +  OTOPARK+GšMRšK KAHVE );May.19;
230;BEKA GEORGIA-KARABAK LOKANTA;11.06.2019;27,97   ;5,03   ;33,00   ;D˜¦ER G˜DERLER;YEMEK;TAHS˜N BEY, H. D™LEK YEMEK BED.;Haz.19;
231;TSULU LTD;12.06.2019;3,40   ;0,00   ;3,40   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;PERSONELE SU;Haz.19;
232;BADR˜ BER˜ZE;13.06.2019;3,60   ;0,00   ;3,60   ;MALZEME;HIRDAVAT;KALEM P˜L-PORTAL KUMANDA;Haz.19;
233;TEONA BOYACIAN;14.06.2019;5,00   ;0,00   ;5,00   ;MALZEME;ZšCACC˜YE;OF˜SE PLAST˜K BARDAK;Haz.19;
234;YAL€IN MARKET;14.06.2019;26,02   ;4,68   ;30,70   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;LOJMAN TEM˜ZL˜K MALZ.;Haz.19;
235;E-2010 LTD;15.06.2019;40,60   ;0,00   ;40,60   ;KIRTAS˜YE;KIRTAS˜YE;KIRTAS˜YE MALZ.KLAS™R 10,DOSYA, KALEM VS;Haz.19;
236;YAL€IN MARKET;21.06.2019;15,76   ;2,84   ;18,60   ;MALZEME;GIDA/TEM.MLZ;LOJMAN ˜€˜N LAVABO A€ICI,€AKMAK;Haz.19;
237;VERG˜ DA˜RES˜ ;21.05.2019;0,00   ;1.663,00   ;1.663,00   ;VERG˜/HAR€;KDV-1;MEHMET MUTLU KALIPLARI YANINDA G™NDER˜LEN HIRDAVAT MALZEMELER˜ SAYES˜NDE OLUžAN KDV ˜€˜N;Haz.19;
238;VERG˜ DA˜RES˜ ;21.05.2019;300,00   ;0,00   ;300,00   ;VERG˜/HAR€;KDV-1;MEHMET MUTLU KALIPLARI YANINDA G™NDER˜LEN HIRDAVAT MALZEMELER˜ GšMRšK H˜ZMET BEDEL˜. POLATYOL ™DED˜¦˜ ˜€˜N ALT SATIRDA SIFIRLANDI;Haz.19;
239;VERG˜ DA˜RES˜ ;21.05.2019;-300,00   ;0,00   ;-300,00   ;VERG˜/HAR€;KDV-1;MEHMET MUTLU KALIPLARI YANINDA G™NDER˜LEN HIRDAVAT MALZEMELER˜ GšMRšK H˜ZMET BEDEL˜. POLATYOL ™DED˜¦˜ ˜€˜N ALT SIFIRLANDI;Haz.19;
240;MAGT˜ GSM;7.05.2019;99,01   ;17,82   ;116,83   ;˜LET˜ž˜M;TELEFON/˜NTERNET;N˜SAN TELEFON FATURALARI. TAHS˜N ™ZMEN+EREN CAN ž˜MžEK+HAL˜M D™LEK+BAHATT˜N T˜MUR + BADR˜;Nis.19;
241;SOCAR PETROL;16.05.2019;423,05   ;76,15   ;499,20   ;AKARYAKIT;AKARYAKIT;AKARYAKIT  208 LT;May.19;
242;SOCAR PETROL;13.06.2019;422,16   ;75,99   ;498,15   ;AKARYAKIT;AKARYAKIT;AKARYAKIT  205 LT;Haz.19;
243;BANK OF GEORGIA;31.05.2019;84,07   ;0,00   ;84,07   ;BANKA MASRAF;EFT MASRAF;BANKA MASRAF.EFT šCRET˜.GšLTEK˜N ULUSLARARASI;May.19;
244;BANK OF GEORGIA;31.05.2019;98,78   ;0,00   ;98,78   ;BANKA MASRAF;EFT MASRAF;BANKA MASRAF.EFT šCRET˜.CSM LOJ˜ST˜K;May.19;
245;VERG˜ DA˜RES˜ ;30.04.2019;0,00   ;7.414,25   ;7.414,25   ;VERG˜/HAR€;KDV-1;KDV.N˜SAN 2019;Nis.19;
246;VERG˜ DA˜RES˜ ;30.04.2019;6.684,08   ;0,00   ;6.684,08   ;VERG˜/HAR€;˜ž€˜ VERG˜S˜-MUHTASAR;˜ž€˜ VERG˜S˜-MUHTASAR. N˜SAN 2019;Nis.19;
247;VERG˜ DA˜RES˜ ;31.05.2019;0,00   ;10.498,00   ;10.498,00   ;VERG˜/HAR€;KDV-1;˜ž€˜ VERG˜S˜-MUHTASAR. MAYIS 2019;May.19;
248;VERG˜ DA˜RES˜ ;31.05.2019;6.078,47   ;0,00   ;6.078,47   ;VERG˜/HAR€;˜ž€˜ VERG˜S˜-MUHTASAR;KDV.MAYIS 2019;May.19;
249;MAGT˜ GSM;7.06.2019;151,69   ;27,31   ;179,00   ;˜LET˜ž˜M;TELEFON/˜NTERNET;5 ADET TELEFON FATURASI;May.19;
250;MAGT˜ GSM;10.06.2019;2,12   ;0,38   ;2,50   ;VERG˜/HAR€;HAR€;112 AC˜L SERV˜S HATTI ˜€˜N ˜€˜žLER˜ BAKANLI¦I;May.19;
251;YAL€IN MARKET;15.06.2019;4,00   ;0,00   ;4,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;OF˜SE €AY;Haz.19;
252;ALAMBAR˜ LTD;16.06.2019;27,10   ;4,90   ;32,00   ;D˜¦ER G˜DERLER;YEMEK;TAHS˜N BEY, H. D™LEK YEMEK;Haz.19;
253;MAR˜-2015 LTD;17.06.2019;17,80   ;3,20   ;21,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;PLAST˜K BARDAK 500 AD, €™P TORBASI;Haz.19;
254;NODAR GURGEN˜DZE;17.06.2019;110,00   ;0,00   ;110,00   ;MALZEME;HIRDAVAT;CIRCIR ANAHTAR 2,4 mm 1 AD;Haz.19;
255;TAR˜EL˜ LTD;16.06.2019;6,50   ;0,00   ;6,50   ;MALZEME;ZšCACC˜YE;PLAST˜K KOVA-LOJMAN;Haz.19;
256;YAL€IN MARKET;17.06.2019;2,65   ;0,00   ;2,65   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;PERSONELE SU;Haz.19;
257;MMM GRUP LTD;18.06.2019;2,80   ;0,00   ;2,80   ;MALZEME;HIRDAVAT;KEST˜RME FIR€A 2 AD;Haz.19;
258;TSULU LTD;18.06.2019;3,40   ;0,00   ;3,40   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;PERSONELE SU;Haz.19;
259;BADR˜ BER˜ZE LTD;18.06.2019;3,60   ;0,00   ;3,60   ;MALZEME;HIRDAVAT;PORTAL KUMANDASINA 2 AD P˜L;Haz.19;
260;E-2010 LTD;19.06.2019;3,00   ;0,00   ;3,00   ;KIRTAS˜YE;KIRTAS˜YE;RENKL˜ KURžUN KALEM 1 PKT, MARK™R KALEM 3 AD;Haz.19;
261;UNIFORMA PLUS LTD;19.06.2019;38,13   ;6,87   ;45,00   ;D˜¦ER G˜DERLER;D˜¦ER;˜žPANTOLONU VE T˜žORT 1 AD (BAHATT˜N FORMEN);Haz.19;
262;NODAR GURGEN˜DZE;21.06.2019;10,00   ;0,00   ;10,00   ;MALZEME;HIRDAVAT;TORX 12'DEN 21 mm D™NšžTšRšCš;Haz.19;
263;KARTUL˜KSEL˜ LTD;21.06.2019;9,32   ;1,68   ;11,00   ;KIRTAS˜YE;KIRTAS˜YE;A4 FOTOKOP˜ KA¦IDI 1 PKT;Haz.19;
264;NANA PUTKARADZE;19.06.2019;150,00   ;0,00   ;150,00   ;TAM˜R/BAKIM;PORTAL V˜N€;SEK˜ZL˜ PORTAL FREN BOB˜N SARIMI.FATURA OLMADI¦I ˜€˜N KDV YOK.;Haz.19;
265;AT˜LA LTD.;22.06.2019;101,69   ;18,31   ;120,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;PERSONELE TATLI (˜LK šRET˜M NEDEN˜YLE);Haz.19;
